"Income","Major","Experience"
36669,"Political Science",4
24446,"Political Science",1
61115,"Political Science",5
24446,"Political Science",1
24446,"Political Science",2
24446,"Political Science",2
85561,"Political Science",7
24446,"Political Science",4
48892,"Political Science",5
85561,"Psychology",5
61115,"Psychology",3
36669,"Psychology",1
48892,"Psychology",2
48892,"Psychology",2
85561,"Psychology",6
61115,"Psychology",4
48892,"Psychology",2
110007,"Statistics",1
24446,"Statistics",3
73338,"Statistics",5
36669,"Statistics",4
48892,"Statistics",3
48892,"Statistics",3
48892,"Statistics",2
73338,"Statistics",0
48892,"Statistics",1
73338,"Statistics",3
24446,"Statistics",0
97784,"Statistics",1
61115,"Statistics",0
