"post_roaches","pre_roaches","treatment","senior","trapping_days"
153,308,"treatment","Not Senior Living",0.8
127,331.25,"treatment","Not Senior Living",0.6
7,1.67,"treatment","Not Senior Living",1
7,3,"treatment","Not Senior Living",1
0,2,"treatment","Not Senior Living",1.14285714285714
0,0,"treatment","Not Senior Living",1
73,70,"treatment","Not Senior Living",0.8
24,64.56,"treatment","Not Senior Living",1.14285714285714
2,1,"control","Not Senior Living",1
2,14,"control","Not Senior Living",1.14285714285714
0,138.25,"control","Not Senior Living",1
21,16,"control","Not Senior Living",1
0,97,"control","Not Senior Living",1
179,98,"control","Not Senior Living",0.8
136,44,"control","Not Senior Living",1
104,450,"control","Not Senior Living",0.8
2,36.67,"control","Not Senior Living",0.8
5,75,"control","Not Senior Living",1
1,2,"control","Not Senior Living",1
203,342.5,"control","Not Senior Living",1
32,22.5,"control","Not Senior Living",1
1,4,"control","Not Senior Living",1
135,94,"control","Not Senior Living",1
59,132.13,"control","Not Senior Living",0.857142857142857
29,80,"control","Not Senior Living",1
120,95,"control","Not Senior Living",1
44,34.13,"control","Not Senior Living",0.8
1,19,"control","Not Senior Living",1
2,25,"control","Not Senior Living",1
193,57.5,"control","Not Senior Living",1
13,3.11,"control","Not Senior Living",1
37,10.5,"control","Not Senior Living",1
2,47,"control","Not Senior Living",1
0,2.63,"control","Not Senior Living",1
3,204,"control","Not Senior Living",1
0,0,"control","Not Senior Living",1
0,0,"control","Not Senior Living",1
15,246.25,"control","Not Senior Living",0.8
11,76.22,"control","Not Senior Living",1.57142857142857
19,15,"control","Not Senior Living",1.42857142857143
0,14.88,"control","Not Senior Living",1
19,51,"control","Not Senior Living",1
4,15,"control","Not Senior Living",1
122,52.5,"control","Not Senior Living",0.8
48,13.75,"control","Not Senior Living",1
0,1.17,"control","Not Senior Living",1
0,1,"control","Not Senior Living",1
3,2,"control","Not Senior Living",1
0,0,"control","Not Senior Living",1
9,2,"control","Not Senior Living",1
0,2,"control","Not Senior Living",1.14285714285714
0,30,"control","Not Senior Living",1.14285714285714
0,7,"control","Not Senior Living",1
12,18,"control","Not Senior Living",1
0,2,"control","Not Senior Living",0.8
357,266,"control","Not Senior Living",1
11,174,"treatment","Not Senior Living",0.914285714285714
60,252,"treatment","Not Senior Living",1
0,0.88,"treatment","Not Senior Living",1.28571428571429
159,372.5,"treatment","Not Senior Living",1
50,42,"treatment","Not Senior Living",1
48,19,"treatment","Not Senior Living",0.771428571428571
178,263,"treatment","Not Senior Living",1
4,34,"treatment","Not Senior Living",1.42857142857143
6,1.75,"treatment","Not Senior Living",1
0,213.5,"treatment","Not Senior Living",0.771428571428571
33,13.13,"treatment","Not Senior Living",1
127,154,"treatment","Not Senior Living",1
4,21,"treatment","Not Senior Living",1
63,220,"treatment","Not Senior Living",1
88,38.32,"treatment","Not Senior Living",1
5,352.5,"treatment","Not Senior Living",0.6
0,7,"treatment","Not Senior Living",1
0,4,"treatment","Not Senior Living",1
62,59.5,"treatment","Not Senior Living",1
4,7.5,"treatment","Not Senior Living",1
150,112.88,"treatment","Not Senior Living",1.28571428571429
38,172,"treatment","Not Senior Living",1
0,13,"treatment","Not Senior Living",1
3,18,"treatment","Not Senior Living",1
